,A_B
2013-01-02,0.0
2013-01-03,0.1
2013-01-04,0.1
2013-01-07,0.1
2013-01-08,0.1
2013-01-09,0.06999999999999999
2013-01-10,0.06999999999999999
2013-01-11,0.06999999999999999
2013-01-14,0.06999999999999999
2013-01-15,0.06999999999999999
