,0
2013-01-02,0.0
2013-01-03,-0.000275
2013-01-04,0.000185
2013-01-07,-0.0001099999999999
2013-01-08,5.500000000000001e-05
2013-01-09,4.349999999999989e-05
2013-01-10,-5.25e-05
2013-01-11,8.049999999999999e-05
2013-01-14,-5.25e-05
2013-01-15,5.599999999999999e-05
